work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,weekly_hours,age,gender,job_title_grouped
2023,SE,FT,Principal Data Scientist,80000,EUR,85847,ES,remote,ES,L,43.780831432530064,35,Male,Other
2023,MI,CT,ML Engineer,30000,USD,30000,US,remote,US,S,42.169247573332605,23,Female,Other
2023,MI,CT,ML Engineer,25500,USD,25500,US,remote,US,S,56.6442573263031,39,Female,Other
2023,SE,FT,Data Scientist,175000,USD,175000,CA,remote,CA,M,52.37149695637336,47,Male,Data Scientist
2023,SE,FT,Data Scientist,120000,USD,120000,CA,remote,CA,M,47.6531582392058,47,Male,Data Scientist
2023,SE,FT,Applied Scientist,222200,USD,222200,US,f2f,US,L,48.06809762701959,50,Male,Other
2023,SE,FT,Applied Scientist,136000,USD,136000,US,f2f,US,L,45.00479739368637,36,Male,Other
2023,SE,FT,Data Scientist,219000,USD,219000,CA,f2f,CA,M,48.145452707589605,38,Male,Data Scientist
2023,SE,FT,Data Scientist,141000,USD,141000,CA,f2f,CA,M,46.51362862680457,46,Male,Data Scientist
2023,SE,FT,Data Scientist,147100,USD,147100,US,f2f,US,M,45.655081066223104,36,Male,Data Scientist
2023,SE,FT,Data Scientist,90700,USD,90700,US,f2f,US,M,47.01418482516133,40,Male,Data Scientist
2023,SE,FT,Data Analyst,130000,USD,130000,US,remote,US,M,45.56495175589232,45,Male,Data Analyst
2023,SE,FT,Data Analyst,100000,USD,100000,US,remote,US,M,46.66400991903181,39,Male,Data Analyst
2023,EN,FT,Applied Scientist,213660,USD,213660,US,f2f,US,L,46.25512726080143,21,Male,Other
2023,EN,FT,Applied Scientist,130760,USD,130760,US,f2f,US,L,43.36456218662388,21,Male,Other
2023,SE,FT,Data Modeler,147100,USD,147100,US,f2f,US,M,52.96313096841391,34,Male,Other
2023,SE,FT,Data Modeler,90700,USD,90700,US,f2f,US,M,36.96339872578414,40,Male,Other
2023,SE,FT,Data Scientist,170000,USD,170000,US,f2f,US,M,41.02802644096976,44,Male,Data Scientist
2023,SE,FT,Data Scientist,150000,USD,150000,US,f2f,US,M,46.41919510253195,34,Male,Data Scientist
2023,MI,FT,Data Analyst,150000,USD,150000,US,remote,US,M,44.64429107158721,28,Male,Data Analyst
2023,MI,FT,Data Analyst,110000,USD,110000,US,remote,US,M,39.70263166017855,32,Male,Data Analyst
